HomeworkType,Difficulty,Length,StudyHours,PreviousCompletionTime,Subject,StudentFocusLevel,SubmissionUrgency,TeacherClarity,ResourcesProvided,CompletionTime
MCQ,Easy,12,3.85,63,Math,1,Medium,5,None,170.06
Essay,Easy,4,4.34,42,Science,9,Low,4,Partial,23.65
Essay,Hard,3,6.31,53,Literature,3,Medium,6,Partial,47.08
MCQ,Hard,16,6.46,79,Math,10,High,3,Full,74.5
MCQ,Easy,9,2.59,27,History,3,High,7,None,81.89
Coding,Easy,6,2.47,51,Literature,7,High,9,Partial,30.23
Essay,Hard,11,1.82,115,Literature,10,Medium,1,Partial,143.06
MCQ,Easy,7,9.53,91,Programming,1,Low,2,Full,81.84
MCQ,Hard,20,4.26,49,History,3,High,3,Full,182.0
Essay,Medium,20,3.94,153,Science,7,Medium,4,Full,151.85
MCQ,Easy,15,1.59,38,History,2,High,10,Full,85.02
Coding,Easy,1,2.76,20,Programming,7,High,9,Full,11.6
Essay,Easy,5,9.65,108,Science,8,Medium,4,Full,35.37
Coding,Hard,18,7.01,118,History,5,Medium,9,Partial,121.07
Coding,Easy,8,5.53,19,Programming,8,Medium,3,Full,34.46
Essay,Medium,4,1.25,157,Literature,8,High,5,Partial,86.26
MCQ,Easy,9,8.65,154,History,9,Low,1,Partial,80.94
MCQ,Medium,8,8.18,132,Programming,6,Low,9,Full,54.25
Essay,Medium,15,7.49,180,Programming,6,Low,8,None,122.63
MCQ,Hard,12,2.56,105,Science,7,Medium,10,Full,85.71
Coding,Easy,1,3.39,157,Math,6,High,10,Full,52.82
Essay,Medium,20,6.31,110,Programming,4,Low,5,Full,147.43
Coding,Hard,16,7.38,77,Science,4,High,7,None,128.94
Coding,Hard,2,6.04,152,Literature,5,Low,5,Full,65.94
Essay,Easy,14,8.13,27,Literature,9,Low,9,Full,27.47
MCQ,Easy,18,7.28,31,Math,2,Low,8,None,131.81
Coding,Medium,11,9.82,74,Science,2,High,1,Partial,103.18
Coding,Medium,11,5.45,133,Literature,5,Low,5,Partial,125.58
Coding,Hard,7,4.58,94,Programming,4,High,4,None,94.09
Coding,Hard,1,9.1,152,Literature,5,Low,8,Full,53.37
Essay,Medium,1,7.33,78,Programming,7,High,8,Full,27.74
Essay,Medium,7,5.28,146,History,5,Medium,10,Partial,80.25
Essay,Hard,7,3.81,60,Math,6,High,3,Partial,83.93
Essay,Medium,20,1.53,155,Programming,6,Low,9,None,222.29
MCQ,Hard,8,6.29,125,History,3,Medium,2,Full,100.38
Coding,Easy,12,8.31,145,Science,7,High,9,Full,62.61
Coding,Medium,12,3.84,67,Literature,4,High,4,Partial,122.84
Coding,Medium,2,8.51,148,Math,3,Low,3,None,61.66
MCQ,Medium,14,2.98,101,Programming,10,Medium,5,Full,94.2
Essay,Easy,14,6.19,66,Science,6,Low,7,None,87.78
Coding,Medium,12,5.91,129,Literature,6,Medium,5,Partial,115.46
Essay,Hard,7,5.92,126,Literature,2,Medium,10,None,87.38
Essay,Hard,18,5.27,176,Programming,9,Low,5,None,182.86
Coding,Easy,9,3.56,134,Literature,1,Low,4,None,167.95
MCQ,Easy,9,8.37,148,History,2,High,6,Partial,83.86
MCQ,Medium,8,2.33,21,Science,6,Low,6,None,93.05
MCQ,Easy,12,6.22,141,Literature,4,High,8,Partial,86.39
MCQ,Hard,5,6.67,164,Math,8,Medium,6,None,73.45
Essay,Hard,13,4.94,66,History,3,Medium,1,Full,148.84
MCQ,Hard,18,6.86,77,Literature,5,High,5,Partial,140.52
Coding,Easy,16,6.87,45,Literature,1,Low,9,Full,99.6
MCQ,Medium,1,4.99,97,Programming,5,High,1,None,30.05
Coding,Medium,2,7.69,99,Literature,1,Low,10,Full,38.98
Essay,Hard,6,7.14,30,Math,3,High,5,Full,38.76
Coding,Medium,9,3.18,138,History,1,Medium,2,Full,160.99
MCQ,Easy,9,7.19,31,Science,6,Low,1,Full,47.13
Coding,Hard,4,9.06,157,History,3,Medium,4,Full,62.0
Essay,Hard,12,5.16,35,History,4,High,4,Full,89.66
MCQ,Easy,11,7.54,71,Literature,2,Low,2,Partial,109.95
Coding,Hard,14,5.48,78,Math,1,Medium,10,None,167.49
MCQ,Easy,11,1.18,96,History,3,Medium,3,Full,131.9
MCQ,Easy,1,1.27,31,Science,3,High,4,None,24.72
Essay,Medium,14,6.13,48,Literature,3,High,5,Partial,102.74
MCQ,Easy,4,1.17,113,History,8,Low,7,None,61.3
MCQ,Medium,17,2.75,151,Literature,6,Low,4,Partial,210.55
Coding,Hard,12,4.86,63,Literature,10,Medium,3,Full,68.55
Coding,Hard,18,1.36,71,History,7,High,3,None,245.87
Essay,Hard,9,4.43,23,History,1,Medium,2,None,197.73
Coding,Easy,7,9.95,93,Literature,6,Low,2,Full,52.93
Coding,Medium,2,8.62,23,Science,2,High,6,Partial,14.41
Coding,Medium,18,9.5,73,History,3,Low,6,Partial,138.59
Essay,Hard,2,2.93,178,Science,9,Medium,10,Full,60.83
Essay,Easy,1,3.68,53,Science,8,Medium,2,Partial,13.33
MCQ,Medium,11,3.44,127,Literature,1,Low,5,None,229.4
MCQ,Hard,14,5.91,143,Literature,10,Low,6,Full,109.35
Essay,Medium,4,3.83,84,History,6,High,2,Full,51.35
Essay,Medium,14,3.64,53,Programming,3,Low,8,Partial,135.87
Coding,Easy,19,9.4,63,History,9,High,1,None,79.71
Essay,Easy,9,8.86,77,History,6,Low,3,Full,53.11
Coding,Easy,4,2.68,35,Programming,6,Medium,7,None,38.77
Coding,Easy,13,4.19,94,Literature,2,Low,5,Partial,157.26
Coding,Easy,14,4.06,101,Science,4,High,9,Full,88.13
Essay,Easy,5,6.24,18,Programming,8,Low,4,Partial,31.86
MCQ,Easy,13,8.25,67,Science,10,Medium,8,Full,34.37
Coding,Hard,13,8.03,157,Math,3,High,2,None,166.63
Coding,Medium,19,6.2,148,Science,8,High,3,None,153.5
Coding,Hard,13,5.23,129,Math,4,High,7,None,149.04
Essay,Easy,3,9.68,128,Math,6,Medium,3,None,46.28
MCQ,Medium,19,9.3,153,Literature,3,Low,4,Full,145.3
Coding,Medium,15,1.21,101,Math,1,Medium,2,Full,282.92
Coding,Medium,10,1.81,72,Science,3,Low,2,Full,150.56
Coding,Easy,9,7.69,61,History,5,High,7,Full,33.42
MCQ,Hard,12,4.3,73,History,5,High,4,Partial,115.28
MCQ,Hard,15,3.14,150,Literature,10,High,4,None,154.77
Coding,Hard,4,7.27,162,Science,9,Medium,8,Partial,71.03
Essay,Hard,13,7.0,119,History,4,High,1,Partial,138.27
MCQ,Easy,10,2.91,132,Science,3,Medium,4,Partial,135.08
MCQ,Medium,14,7.41,34,History,1,Low,9,Partial,117.11
Coding,Hard,3,2.41,44,History,1,Low,1,Partial,86.47
Essay,Hard,19,6.63,169,Programming,4,Medium,10,Partial,151.88
Essay,Easy,7,2.52,122,Science,6,Low,8,None,84.62
Essay,Medium,14,1.09,124,Science,4,High,8,None,188.43
Essay,Hard,14,7.46,23,Literature,2,Low,2,Full,144.85
Coding,Medium,2,5.78,127,Math,7,Low,10,Partial,38.47
Essay,Hard,14,4.68,91,Science,8,High,8,Full,68.82
Essay,Hard,12,5.97,146,Literature,6,Medium,5,None,134.16
Coding,Medium,2,4.4,31,History,7,Low,8,Partial,18.98
MCQ,Medium,11,6.23,61,History,2,Low,2,Full,113.05
Coding,Easy,9,5.01,152,Programming,3,Low,5,None,132.24
Coding,Easy,19,7.08,26,Math,9,Low,4,Partial,82.94
Essay,Medium,12,7.07,155,Science,3,High,7,None,114.65
Coding,Easy,4,5.8,144,Math,4,Low,2,Partial,70.14
Essay,Easy,17,9.61,24,Programming,1,High,9,Full,66.73
Essay,Hard,12,9.88,60,Math,5,Medium,2,None,121.49
Coding,Hard,2,4.23,21,Programming,10,Low,8,Full,6.37
Essay,Medium,4,4.11,62,Programming,6,High,9,Partial,34.51
Coding,Hard,15,5.85,68,History,4,High,7,Full,99.29
Coding,Medium,12,3.34,151,Science,6,Medium,9,Full,97.42
MCQ,Easy,4,4.69,52,Science,2,Low,5,None,50.35
Essay,Easy,2,7.51,36,Math,5,Medium,2,Partial,26.33
Coding,Easy,18,2.61,115,Science,8,High,10,Partial,98.36
Coding,Easy,9,3.51,87,Programming,4,Low,1,None,142.61
Essay,Medium,7,2.44,112,Math,9,Low,1,Partial,97.12
MCQ,Easy,3,8.29,114,Literature,2,Low,4,Partial,62.46
Essay,Easy,15,6.15,159,Math,2,Medium,4,Partial,150.22
MCQ,Medium,12,1.66,75,History,9,High,5,None,119.79
Coding,Hard,11,9.67,107,Programming,2,Low,5,Full,112.94
Coding,Medium,7,9.86,161,Literature,3,High,10,Partial,69.51
Coding,Easy,9,1.17,152,Programming,9,High,3,Full,81.1
Coding,Medium,5,6.19,141,History,1,Low,5,None,103.3
Coding,Easy,9,1.2,127,Math,7,High,2,Full,98.03
MCQ,Medium,17,6.43,173,Literature,10,High,4,Partial,117.88
Coding,Easy,11,5.47,91,History,10,Medium,8,Full,53.7
Coding,Medium,7,3.83,61,Literature,8,Low,2,None,77.78
MCQ,Easy,8,8.19,71,Programming,10,High,6,Partial,37.77
Essay,Easy,18,5.6,70,Literature,7,Medium,2,None,124.09
Essay,Hard,13,6.09,126,Science,7,Low,4,Partial,122.99
MCQ,Hard,12,2.34,83,Science,10,Low,9,Full,75.38
MCQ,Easy,4,9.2,75,Programming,1,Medium,9,Partial,37.2
MCQ,Easy,9,3.23,16,Programming,6,High,9,None,53.26
Coding,Easy,3,6.69,100,Programming,2,Medium,2,Full,44.34
MCQ,Hard,1,7.12,173,History,3,Medium,5,Full,53.08
Coding,Medium,6,7.22,85,Science,10,Low,8,Full,32.19
Coding,Medium,3,9.53,86,Math,10,High,1,Partial,27.14
MCQ,Medium,19,6.96,79,Math,1,High,1,None,271.39
MCQ,Hard,11,4.85,42,History,10,Medium,7,None,77.69
MCQ,Hard,9,1.59,33,History,6,High,2,Partial,123.48
Essay,Medium,13,8.63,144,Literature,8,Medium,10,Full,79.4
MCQ,Medium,15,3.29,36,History,4,High,4,Full,111.05
MCQ,Medium,15,7.07,138,Programming,3,Low,9,Full,106.33
MCQ,Hard,20,7.43,39,History,2,Medium,1,Full,191.42
MCQ,Hard,2,3.29,33,History,4,High,2,Full,30.26
Essay,Hard,12,6.74,25,Programming,3,Low,10,None,98.94
Essay,Medium,5,5.72,50,Math,4,High,10,None,32.31
Essay,Hard,2,7.91,171,Math,6,High,5,Partial,62.19
Essay,Easy,3,9.38,18,Literature,10,Medium,9,None,6.79
Essay,Medium,14,8.54,146,Programming,6,Medium,8,None,106.89
MCQ,Hard,11,5.7,179,Math,4,Low,4,Partial,153.79
Essay,Hard,7,4.09,69,Math,9,Low,4,Partial,78.72
Coding,Easy,9,1.36,51,Science,8,Medium,1,Partial,82.02
Coding,Easy,2,2.17,165,Programming,7,Medium,5,Full,65.23
MCQ,Medium,11,6.26,162,Science,7,High,4,None,110.35
Essay,Easy,2,4.45,88,Programming,1,High,6,Full,44.98
Essay,Medium,9,6.82,129,Math,9,Medium,7,Full,59.17
Essay,Hard,20,1.61,56,Literature,10,High,2,Partial,188.48
Essay,Hard,7,2.71,47,Literature,4,High,8,Full,65.78
Coding,Hard,17,7.09,60,Math,5,Medium,7,Partial,121.74
MCQ,Medium,9,1.18,38,Programming,8,Low,5,Partial,89.68
Essay,Easy,5,2.18,144,Math,3,Low,1,Full,102.66
Essay,Easy,4,1.97,96,History,1,Low,2,Full,84.66
MCQ,Easy,14,6.83,25,Math,2,High,6,Partial,93.15
Coding,Easy,14,5.48,72,Literature,5,Low,1,None,145.12
